"analisis","obra","relacion","fuente","carpeta","en_repo","motivo"
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Castillo, Rocío - Eduardo Tokeshi y sus fardos funerarios. La sangre llega al atelier [entrevista, sección Artes & Letras].md","Fuentes ET","sí","Fuente primaria de 1988: la meta-postura «el sentido crítico se adjudica en la recepción» y el relato de formación; sostiene rf-meta y c-formacion. Citada también por Buntinx y Vich."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Buntinx - Los signos mesiánicos. Fardos y banderas en la obra de Eduardo Tokeshi durante la «República de Weimar peruana» 1980-1992.md","Cap 2 - Historia","sí","Recepción crítica central; postdata «la patria en cuidados intensivos», la sangre química infiltrada, la sal bíblica/salada, la peruanidad ilusa (rf-buntinx, c-cuidados, rf-friccion)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Vich - La violencia, la dictadura y la globalización. Arte y política en el Perú contemporáneo.md","Cap 2 - Historia","sí","Recepción crítica; «¿dónde está el enfermo?» y la interpelación fallida por desconexión (rf-vich)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Vich, V. (2015b). Noticia última: Los nuevos lenguajes de la memoria. En Poéticas del duelo (pp. 231-260). IEP.","externa","no","Se cita para anclar «interrupción» en el cierre; otro capítulo del mismo libro Poéticas del duelo, no presente como archivo suelto en el repo (r-vich2)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Ball - On Dicentization (2014) [Journal of Linguistic Anthropology].md","Teoría","sí","Dicentización (icono→índice): la semejanza con sangre se lee como conexión física; «hace pasar» el desangramiento."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Gal, S. (2005). Language ideologies compared. Journal of Linguistic Anthropology, 15(1), 23-37.","externa","no","Rematización (índice→icono) que ejecutan las lecturas críticas; la edición citada es Gal 2005, distinta del Gal 2013 disponible en el repo (r-gal)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Stjernfelt - Diagrammatology. An Investigation on the Borderlines of Phenomenology, Ontology, and Semiotics (2007) [Synthese Library, ISBN 9781402056512, pp. 49-107, cap. 3 «How to Learn More. An Apology for a Strong Concept of Iconicity»].md","Teoría","sí","Diagrama operable: la transfusión que la forma promete se ejecuta mentalmente y revela el término final sustraído."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Nakassis - A Linguistic Anthropology of Images (2023) [Annual Review of Anthropology 52, pp. 73-91].md","Teoría","sí","Calibración del índice (reportivo/nómico): por qué la pieza oscila entre crónica y alegoría."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Larkin - The Politics and Poetics of Infrastructure (2013) [Annual Review of Anthropology 42, pp. 327-343].md","Teoría","sí","Infraestructura como forma relativamente autónoma con qualia propios cargados de sabor moral (rf-infra)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Star y Ruhleder - Steps Toward an Ecology of Infrastructure. Design and Access for Large Information Spaces (1996) [Information Systems Research 7(1), desde p. 111].md","Teoría","sí","La infraestructura se vuelve visible cuando se rompe; funda la lectura del mobiliario clínico averiado (rf-infra)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Keane - On Semiotic Ideology (2018) [Signs and Society].md","Teoría","sí","Las affordances como salvaguarda materialista del post-representacionalismo: «hay un ahí que ninguna lectura agota» (nx-crisis)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Koselleck, R. (1988). Critique and crisis. MIT Press. (Obra original 1959).","externa","no","Historia semántica de la solidaridad crítica/crisis; la crisis como operador y no como dato del mundo (nx-crisis)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Dondero, M. G. (2023). The experimental space of the diagram according to Peirce, Deleuze and Goodman. Semiotic Review, (9): Images.","externa","no","La diagramaticidad como efecto de las prácticas de recepción y no propiedad de la configuración visual."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Nöth - Peirce's Iconicity and His Image-Diagram-Metaphor Triad Revisited. Complements to Stjernfelt's «Sheets, Diagrams, and Realism» (2024) [Semiotica 258, pp. 143-167].md","Teoría","sí","Un diagrama puro no transmite información sin índices; el diagrama necesita el índice para volverse informativo."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Bourdieu - The Field of Cultural Production, or, The Economic World Reversed.md","Teoría","sí","Se invoca de pasada la teoría del campo para leer el relato de posición de Tokeshi (Bellas Artes/Católica, «paleta de la Católica») (d-bourdieu)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Watanabe, José - «El envío» (poema; probablemente Cosas del cuerpo, 1999).","externa","no","Poema parafraseado en el testimonio de 2012 (la sangre que viene de un colectivo); Tokeshi lo retitula «El regalo». Edición pendiente (g-watanabe)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Tokeshi, E. (2000). Bandera VIII [ficha del catálogo «Los signos mesiánicos», 2001].","externa","no","La obra analizada; ficha de materiales y medidas (miel, sal, colorantes, sangre RH−); colección/procedencia por confirmar (r-ficha, g-proc)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Entrevista - Tokeshi, Eduardo - sin fecha [refinada v1, correcciones sin verificar].transcripcion.md","Fuentes ET","sí","Testimonio de 2026: «estado límbico», la «sangre mentira», la sal/«saladera», el «marco teórico en acero inoxidable» y la escena de la señora."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","Registro - Tokeshi relata el origen de Bandera VIII, el club RH negativo y el poema de Watanabe [fragmento de transcripción sin procedencia].txt","Fuentes ET","sí","Testimonio de 2012: origen del club de donantes RH negativo, «somos una familia de negativos» y el poema de Watanabe."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","utilizada","guia-tres-ejes.md","Fuentes ET","sí","Marco metodológico aplicado en todo el análisis: tres ejes (índice/ícono/símbolo), dicentización, rematización y el criterio abductivo (rf-centro, rf-abduccion)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Munive Maco - Una espera en tres actos. Vientres grávidos y gravitantes en la obra de Johanna Hamann (2017) [Illapa Mana Tukukuq 14, pp. 60-71].pdf","Fuentes ET","sí","Cuerpo, fluidos y materiales orgánicos como duelo; apoya la génesis corporal del motivo (rf-cuerpo)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Registro - Visita guiada con Buendía. Las estelas y la directriz senderista del campo a la ciudad [transcripción].txt","Fuentes ET","sí","Contexto de la violencia senderista en el campo artístico; apoya el nexo con el «arte crítico» del cap. 2 (nx-cap2)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Video - Against the Grain. Documental de Ann Kaneko sobre artistas peruanos bajo el fujimorato [transcripción].txt","Fuentes ET","sí","Artistas peruanos bajo el fujimorato; contexto del 2000 y del régimen atmosférico (d-nikkei)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Video - Poéticas del duelo. Conferencia de Víctor Vich en el Reina Sofía, 2020-02-07 [transcripción].txt","Fuentes ET","sí","Vich sobre arte, duelo y violencia; refuerza y actualiza su lectura de la obra (rf-vich)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Web - Aproximaciones a una historia del arte peruano a partir de la década del ochenta. Fracción de una ponencia del XI Simposio Internacional de Historia, Arequipa 2006, publicada en el blog Escuela de Marte.txt","Fuentes ET","sí","Panorama del campo del arte de los ochenta; apoya el perfil y la teoría implícita del campo (d-bourdieu, c-formacion)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Web - Eduardo Tokeshi, «el artista no debe ser ajeno a nada». Entrevista de 1999 recuperada en el blog Burbujas Reloaded.txt","Fuentes ET","sí","Entrevista coetánea a la obra (1999); triangula la estabilidad de la meta-postura del artista (rf-meta)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Web - La patria en cuidados intensivos. Ficha de Micromuseo sobre Bandera VIII de Tokeshi (2000), post de Facebook del 2020-11-10.txt","Fuentes ET","sí","Ficha específica de la obra; datos de materiales y procedencia (g-proc) y la fórmula «cuidados intensivos» (c-cuidados)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Web - Nuestra historia en una bandera. Nota de La República sobre los artistas que rescataron la bandera del fujimorato, 2010-07-25 [vía Internet Archive].txt","Fuentes ET","sí","Bandera y fujimorato; contexto del tema nación/bandera y de la recepción pública del emblema."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Web - Poéticas del duelo. Arte y violencia en el Perú. Ficha de la conferencia de Víctor Vich en el Reina Sofía, 2020-02-07.txt","Fuentes ET","sí","Complemento (ficha) de la conferencia de Vich; encuadra arte, duelo y violencia en su lectura."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Fassin - Crisis [entrada de Words and Worlds. A Lexicon for Dark Times, contenedor sin confirmar].md","Teoría","sí","Cubre la nota «falta»: la referencia de Fassin sobre la crisis como operador (g-fassin, nx-crisis)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Fassin y Honneth - Introduction. The Heuristic of Crises. Reclaiming Critical Voices (2022) [Crisis under Critique, Columbia UP, pp. 1-8].md","Teoría","sí","La crisis como heurística de la crítica; refuerza el tratamiento de la crisis como operador (nx-crisis)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Keane - Perspectives on Affordances, or the Anthropologically Real. The 2018 Daryll Forde Lecture.md","Teoría","sí","Desarrolla las «affordances» que el texto usa como salvaguarda materialista; complementa al Keane ya citado (nx-crisis)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Keane - Semiotics and the Social Analysis of Material Things (2003) [Language & Communication 23, pp. 409-425].md","Teoría","sí","Materialidad de la sangre y la sal; ancla el «la sangre está en las bolsas» frente a la semiosis."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Nakassis - Indexicality's Ambivalent Ground [Signs and Society].md","Teoría","sí","Fundamento ambivalente del índice; apuntala la reversibilidad de la dicentización que revierte el propio autor (rf-oscila)."
